Z_PK,Z_ENT,Z_OPT,ZUUIDHASH,ZEVENT,ZSOURCE,ZCATEGORYTYPE,ZINTEGERVALUE,ZCOMPATIBILITYVERSION,ZENDDAYOFWEEK,ZENDSECONDOFDAY,ZHASCUSTOMMETADATA,ZHASSTRUCTUREDMETADATA,ZSECONDSFROMGMT,ZSHOULDSYNC,ZSTARTDAYOFWEEK,ZSTARTSECONDOFDAY,ZVALUECLASS,ZVALUEINTEGER,ZVALUETYPECODE,ZSTRUCTUREDMETADATA,ZVALUE,Z9_VALUE,ZIDENTIFIERTYPE,ZQUANTITYTYPE,ZCREATIONDATE,ZLOCALCREATIONDATE,ZCONFIDENCE,ZENDDATE,ZSTARTDATE,ZVALUEDOUBLE,ZDOUBLEVALUE,ZUUID,ZSTREAMNAME,ZVALUESTRING,ZSTRING,ZMETADATA
12,11,1,-3208307773579107655,,1.0,,,0,2,76103,0,1,3600,0,2,76103,1,2236308892753624024,-635635896434291546,12.0,,,,,693781703.58836,693781703.58836,1.0,693781703.0,693781703.0,2.236308892753624e+18,,61DB5B55-9D1E-4516-B34B-91ADC1CA51BF,/discoverability/signals,com.apple.controlcenter.presented,,
15,11,1,4977564557018659374,,2.0,,,0,2,76126,0,1,3600,0,2,76126,1,2687269364483809848,-635635896434291546,15.0,,,,,693781726.483046,693781726.483046,1.0,693781726.0,693781726.0,2.68726936448381e+18,,D8B7DF84-66F6-4E21-A657-CFA9AA4C47E8,/discoverability/signals,com.apple.Safari.user-opened-tab,,
175,11,1,8822191961041725863,,3.0,,,0,2,77561,0,1,3600,0,2,77561,1,2007560149083090365,-635635896434291546,12.0,,,,,693783161.606876,693783161.606876,1.0,693783161.0,693783161.0,2.0075601490830904e+18,,BFE303B2-9917-4E77-A5A5-DD8EFD56A583,/discoverability/signals,com.apple.siri.dictation.siri-request-started,,
178,11,1,-7776413663132742776,,4.0,,,0,2,77575,0,1,3600,0,2,77575,1,2007560149083090365,-635635896434291546,12.0,,,,,693783175.521049,693783175.521049,1.0,693783175.0,693783175.0,2.0075601490830904e+18,,C978B902-E931-4015-860E-F3ECB051C7BD,/discoverability/signals,com.apple.siri.dictation.siri-request-started,,
179,11,1,3726170084605210053,,5.0,,,0,2,77576,0,1,3600,0,2,77576,1,2007560149083090365,-635635896434291546,12.0,,,,,693783176.561735,693783176.561735,1.0,693783176.0,693783176.0,2.0075601490830904e+18,,CBFEE1BC-FC4A-4FDB-9982-554F6BE001EA,/discoverability/signals,com.apple.siri.dictation.siri-request-started,,
267,11,1,-53116868320841182,,6.0,,,0,2,78746,0,1,3600,0,2,78746,1,2007560149083090365,-635635896434291546,12.0,,,,,693784346.810272,693784346.810272,1.0,693784346.0,693784346.0,2.0075601490830904e+18,,0D70BD76-C112-4D14-A0B4-F1828FEA2D51,/discoverability/signals,com.apple.siri.dictation.siri-request-started,,
269,11,1,-2794546805807816947,,7.0,,,0,2,78749,0,1,3600,0,2,78749,1,2236308892753624024,-635635896434291546,12.0,,,,,693784349.792102,693784349.792102,1.0,693784349.0,693784349.0,2.236308892753624e+18,,BBBB369E-2623-477B-ACCA-59EF83240D9F,/discoverability/signals,com.apple.controlcenter.presented,,
388,11,1,7883546118069288922,,8.0,,,0,2,80990,0,1,3600,0,2,80990,1,2007560149083090365,-635635896434291546,12.0,,,,,693786590.509976,693786590.509976,1.0,693786590.0,693786590.0,2.0075601490830904e+18,,7A71F9E8-670C-4822-87DF-0BFD60FDE2E5,/discoverability/signals,com.apple.siri.dictation.siri-request-started,,
394,11,1,6491694681014823116,,9.0,,,0,2,81373,0,1,3600,0,2,81373,1,2236308892753624024,-635635896434291546,12.0,,,,,693786973.571793,693786973.571793,1.0,693786973.0,693786973.0,2.236308892753624e+18,,6E0312B7-EC24-40CA-BF3E-17AB62F57816,/discoverability/signals,com.apple.controlcenter.presented,,
396,11,1,-8951296803365844364,,10.0,,,0,2,81378,0,1,3600,0,2,81378,1,2157847040686542601,-635635896434291546,396.0,,,,,693786978.384121,693786978.384121,1.0,693786978.0,693786978.0,2.1578470406865426e+18,,B1B2DB5D-8DC3-43CC-AC2B-A258A9E83320,/discoverability/signals,com.apple.notificationcenter.opened,,
